personid,wfh,age,grosswage,children,bedroom,commute,married
3906,1,33,2.7375467,1,1,180,1
4122,1,30,4.0962458,0,0,180,0
4448,1,35,4.2692962,1,1,100,1
4942,1,27,5.2953954,0,1,160,1
5018,1,29,1.3875899,1,1,240,1
5614,0,32,3.8260088,0,1,80,1
6362,0,29,4.8947082,1,1,200,1
6364,1,26,6.2207456,1,1,180,1
7068,0,28,4.3418241,0,1,40,1
7076,1,30,2.66415,1,1,120,1
7488,1,25,3.0722089,0,1,240,0
7720,1,25,3.0483878,0,1,180,0
8522,1,30,4.1922421,1,1,120,1
8834,0,22,3.6427166,0,0,60,0
8854,1,22,4.2592611,0,1,60,0
8980,1,25,1.9734234,0,1,120,0
9710,0,33,3.9029267,0,1,120,1
10226,0,22,3.3343222,0,0,60,0
10356,0,27,3.7967179,0,1,60,0
10794,1,32,4.1691942,1,1,120,1
10822,1,26,2.9962699,0,1,70,1
11348,0,25,2.7525179,1,1,120,1
11390,1,31,4.7715454,0,1,60,1
11868,1,30,2.7679133,0,1,120,0
12306,0,24,3.4949443,0,1,180,0
12426,0,30,2.8134468,0,1,60,1
12896,0,26,4.3952889,0,1,150,1
12974,1,22,3.8363302,0,1,20,0
13530,1,29,2.9978867,0,1,100,0
13710,1,30,3.8624947,1,1,120,1
13980,0,28,4.4680867,0,1,120,0
14048,0,28,3.6995213,1,1,180,1
14374,1,28,3.3623633,0,1,2.5,0
14382,1,26,5.1260633,1,1,190,1
14384,1,32,3.6653888,0,1,180,0
14522,0,29,3.4024889,0,1,40,0
14528,1,28,2.6626198,1,1,65,1
14532,1,26,2.9423811,0,1,120,0
14556,0,26,3.7961645,1,1,120,1
14678,1,26,3.7973533,0,1,60,1
15294,0,25,3.7159467,0,1,80,0
15444,1,27,3.27178,0,1,120,1
16424,1,22,3.1301768,0,1,180,0
16514,1,28,2.3920667,0,1,70,0
16594,0,29,3.6042979,1,1,160,1
16596,1,34,4.7260346,1,1,40,1
17160,0,27,3.3902433,1,1,180,1
17172,1,28,4.6419311,0,1,240,0
17722,1,24,4.1951799,0,1,120,0
17752,1,25,3.5489633,0,1,60,0
17812,0,28,4.7051601,1,1,150,1
17906,1,27,2.5038145,0,1,210,1
18112,1,27,2.7862556,0,1,120,0
18494,0,31,3.2129254,0,1,180,0
19470,0,25,3.5001233,0,1,60,0
19482,0,23,2.7133322,0,1,180,0
21604,0,24,3.0380278,0,1,200,0
21648,1,26,2.6443167,1,1,75,1
21654,1,29,4.1014285,0,1,80,0
21710,1,30,2.6169801,0,1,90,1
22022,0,22,3.4560156,0,1,120,0
22284,0,21,3.4786634,1,1,45,1
23126,0,23,4.2542796,0,1,95,0
23136,1,22,3.1753633,0,1,60,0
23228,1,23,3.9816256,0,1,40,1
23622,1,25,4.1304722,0,1,120,0
23772,0,21,3.6291912,0,1,40,0
24142,1,29,4.9450345,0,1,180,0
24146,1,24,3.2050078,0,1,150,0
24608,1,34,3.8289921,1,1,20,1
25056,1,23,2.8689067,0,1,40,0
25258,0,26,3.4368823,0,1,120,0
25520,1,24,3.6391969,0,1,60,0
25532,0,25,3.3970912,0,1,180,0
25628,1,24,3.0696712,0,1,120,0
25638,1,26,2.7953246,0,1,120,0
25700,0,27,3.1886568,0,1,30,0
25864,0,20,4.3348713,0,1,40,0
25940,1,24,3.5226889,0,1,100,1
25962,1,24,3.6365478,1,1,80,1
26328,0,22,3.6299655,0,0,30,0
26618,1,24,3.6763389,0,1,40,0
27704,0,26,2.6993911,0,1,30,0
28190,1,25,2.9674811,0,1,60,0
28224,0,27,3.1292701,1,1,30,1
28226,0,23,2.3416898,0,1,120,0
28470,1,24,3.0680244,0,1,60,0
28492,1,24,4.2266932,0,1,40,0
29172,1,26,2.8963332,0,1,180,0
29216,0,26,2.9735067,0,1,50,0
29248,0,27,2.7496324,1,1,40,1
29996,0,23,3.3534834,0,1,60,1
30006,0,24,3.2888489,0,1,60,0
30014,1,30,4.3416367,0,1,50,0
30308,0,21,3.7130811,0,0,50,0
30972,1,27,2.8467743,0,1,120,0
31136,0,23,2.6250567,0,1,140,0
31230,1,24,2.9393754,0,1,200,1
31292,1,27,3.6276512,0,1,135,0
31796,1,24,3.8672733,0,1,120,1
31888,1,27,3.249639,1,1,180,1
31936,0,25,2.4034512,0,1,75,0
32590,1,28,2.6732466,0,1,100,0
33128,1,21,3.7385809,0,1,80,0
33278,1,20,2.275409,0,1,180,0
33350,1,26,2.8910179,0,1,120,0
33354,0,21,2.702929,0,1,135,0
35344,1,22,2.8727365,0,1,60,0
36032,1,22,2.3757291,0,1,120,0
36288,0,25,2.84852,0,1,30,0
36306,1,26,3.2344944,0,1,80,0
36314,0,23,2.7280767,0,1,75,0
36908,1,23,2.7428231,0,1,60,0
37292,0,21,2.5126977,0,1,180,0
37294,1,20,2.2425222,0,1,80,0
37784,0,19,2.465909,0,1,105,0
37798,0,21,4.0997667,0,1,20,0
37812,0,26,2.5612578,0,1,180,0
37828,0,23,3.4578824,0,1,60,0
